City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Madimba,-10.4,40.3333,81.72,74,40,16.11,TZ,2021-10-31 15:34:27
1,Hermanus,-34.4187,19.2345,69.91,85,95,8.97,ZA,2021-10-31 15:34:28
2,Carnarvon,-24.8667,113.6333,68.07,73,90,17.27,AU,2021-10-31 15:34:28
3,Jamestown,42.097,-79.2353,52.09,99,90,4.0,US,2021-10-31 15:34:29
4,Butaritari,3.0707,172.7902,80.85,78,37,9.31,KI,2021-10-31 15:34:30
5,Kodiak,57.79,-152.4072,45.91,87,90,17.27,US,2021-10-31 15:34:30
6,Ribeira Grande,38.5167,-28.7,70.2,88,75,11.5,PT,2021-10-31 15:34:30
7,Buluang,13.3068,123.3425,74.1,90,46,3.69,PH,2021-10-31 15:34:31
8,Rikitea,-23.1203,-134.9692,74.05,88,100,18.12,PF,2021-10-31 15:32:06
9,Sao Joao Da Barra,-21.6403,-41.0511,77.09,82,100,12.68,BR,2021-10-31 15:34:31
10,Thinadhoo,0.5333,72.9333,83.03,76,99,18.34,MV,2021-10-31 15:34:32
11,Oksfjord,70.2396,22.3479,39.38,89,38,15.17,NO,2021-10-31 15:34:32
12,Humaita,-7.5061,-63.0208,101.12,34,57,1.88,BR,2021-10-31 15:34:33
13,Bambanglipuro,-7.95,110.2833,77.59,89,88,1.74,ID,2021-10-31 15:34:33
14,Mokhsogollokh,61.4681,128.9203,20.53,96,100,3.91,RU,2021-10-31 15:34:34
15,Dunedin,-45.8742,170.5036,48.79,64,80,4.0,NZ,2021-10-31 15:32:29
16,Punta Arenas,-53.15,-70.9167,48.31,57,0,12.66,CL,2021-10-31 15:34:34
17,Partenit,44.578,34.3446,54.21,76,4,6.58,UA,2021-10-31 15:34:35
18,Lebu,-37.6167,-73.65,60.12,72,100,7.96,CL,2021-10-31 15:34:35
19,Hilo,19.7297,-155.09,79.29,72,1,6.91,US,2021-10-31 15:34:35
20,Saint-Augustin,51.226,-58.6502,49.41,52,95,5.55,CA,2021-10-31 15:34:36
21,Olafsvik,64.8945,-23.7142,36.18,68,13,18.77,IS,2021-10-31 15:34:36
22,Cape Town,-33.9258,18.4232,71.89,58,0,5.01,ZA,2021-10-31 15:34:37
23,Jumla,29.2747,82.1838,43.65,78,6,3.98,NP,2021-10-31 15:34:37
24,Balkhash,46.844,74.9804,44.37,74,100,16.4,KZ,2021-10-31 15:34:38
25,Albany,42.6001,-73.9662,59.74,87,100,9.6,US,2021-10-31 15:32:15
26,Tuatapere,-46.1333,167.6833,39.63,85,40,5.01,NZ,2021-10-31 15:34:38
27,Rongcheng,30.634,117.8517,58.75,72,65,2.53,CN,2021-10-31 15:34:39
28,Arlit,18.7369,7.3853,96.76,10,37,4.54,NE,2021-10-31 15:34:39
29,Busselton,-33.65,115.3333,54.05,79,100,7.76,AU,2021-10-31 15:34:40
30,Narsaq,60.9167,-46.05,30.42,67,45,3.87,GL,2021-10-31 15:34:40
31,Jaszszentandras,47.5833,20.1833,55.26,52,0,4.14,HU,2021-10-31 15:34:41
32,Hambantota,6.1241,81.1185,80.94,100,40,0.0,LK,2021-10-31 15:34:41
33,Flin Flon,54.7682,-101.865,31.84,86,90,8.05,CA,2021-10-31 15:34:42
34,Waddan,29.1614,16.139,77.4,27,41,8.21,LY,2021-10-31 15:34:42
35,Kununurra,-15.7667,128.7333,78.78,89,37,1.14,AU,2021-10-31 15:34:43
